"S.NO,SECTION,DV,M-II,PP,BEEE,FL,FIMS"
"248,GAMMA,11,6,8,14,12,15"
"249,GAMMA,17,14,8,20,17,16"
"250,GAMMA,17,11,10,17,19,15"
"251,GAMMA,16,1,6,12,8,8"
"252,GAMMA,18,15,13,16,19,16"
"253,GAMMA,17,8,14,17,20,16"
"254,GAMMA,15,4,4,13,16,13"
"255,GAMMA,19,3,12,15,20,13"
"256,GAMMA,14,0,5,11,8,11"
"257,GAMMA,17,4,5,9,12,14"
"258,GAMMA,18,10,11,18,20,14"
"259,GAMMA,17,0,8,17,11,14"
"260,GAMMA,14,9,7,14,16,16"
"261,GAMA,12,2,6,6,6,11"
"262,GAMMA,19,18,12,20,20,19"
"263,GAMMA,17,12,15,20,20,19"
"264,GAMMA,14,3,5,8,13,6"
"265,GAMMA,11,4,5,16,15,13"
"266,GAMMA,17,11,12,19,20,17"
"267,GAMMA,17,3,13,15,12,12"
"268,GAMMA,17,9,10,14,14,9"
"269,GAMMA,19,12,12,20,20,19"
"270,GAMMA,18,8,9,19,19,13"
"271,GAMMA,17,4,10,11,10,11"
"272,GAMMA,16,16,12,19,9,13"
"273,GAMMA,16,16,15,20,20,16"
"274,GAMMA,18,20,16,20,20,19"
"275,GAMMA,17,13,16,15,14,11"
"276,GAMMA,16,18,16,20,19,8"
"277,GAMMA,17,4,11,17,17,18"
"278,GAMMA,13,4,5,11,16,14"
"279,GAMMA,10,3,6,7,11,8"
"280,GAMMA,15,3,6,7,16,8"
"281,GAMMA,15,3,13,11,14,1"
"282,GAMMA,18,13,15,17,19,16"
"283,GAMMA,13,1,2,9,14,12"
"284,GAMMA,14,11,10,20,14,17"
"285,GAMMA,12,8,2,12,16,3"
"286,GAMMA,17,8,9,15,12,8"
"287,GAMMA,18,15,13,19,20,18"
"288,GAMMA,17,9,11,18,19,18"
"289,GAMMA,18,0,3,8,17,3"
"290,GAMMA,17,4,6,17,15,11"
"291,GAMMA,15,0,5,15,13,13"
"292,GAMMA,15,6,9,14,12,16"
"293,GAMMA,18,8,7,17,20,11"
"294,GAMMA,16,II,11,19,15,13"
"295,GAMMA,13,8,9,18,20,13"
"296,GAMMA,16,3,11,17,12,15"
"297,GAMMA,18,4,9,10,20,15"
"298,GAMMA,17,19,16,20,20,18"
"299,GAMMA,15,1,2,7,10,2"
"300,GAMMA,17,1,3,3,11,12"
"301,OMEGA,19,2,6,20,17,13"
"302,OMEGA,19,6,8,20,18,15"
"303,OMEGA,A,A,A,A,A,A"
"304,OMEGA,5,0,3,11,7,10"
"305,OMEGA,16,3,7,16,20,16"
"306,OMEGA,17,20,14,20,20,16"
"307,OMEGA,15,5,6,14,15,8"
"308,OMEGA,16,4,12,17,15,11"
"309,OMEGA,17,3,3,9,16,4"
"310,OMEGA,12,1,3,10,16,6"
"311,OMEGA,19,1,8,19,18,13"
"312,OMEGA,6,0,1,11,9,4"
"313,OMEGA,19,20,18,20,20,17"
"314,OMEGA,13,5,6,18,13,5"
